part,operation_cat,mean_wh_reg,std_wh_reg,n,mean_wh_act,std_wh_act,diff_pct
body,cavity_milling,93.52383928571429,52.700478532854746,56,93.17473214285714,52.378140286501214,-0.37
body,drilling,4.903384057971015,4.720300969809383,138,4.891978260869565,4.790103961609561,-0.23
body,engraving,9.727363636363636,30.05159919629146,11,10.299727272727273,31.440946620898387,5.88
body,face_milling,15.934826086956521,21.66818707032217,92,16.04658695652174,21.577506688782268,0.7
body,finishing,8.824696296296297,4.235983956381036,135,8.799392592592591,4.165000552035042,-0.29
body,homing,0.333,0.0,3,0.9736666666666666,0.03842308333974951,192.39
body,idle,84.92855952380953,114.8081160205024,84,88.10720238095239,117.68400967546907,3.74
body,profiling,18.505973214285714,34.53155338654149,112,19.026660714285715,35.324676456391124,2.81
body,spotting,1.9904100719424458,1.6516207402890337,139,1.8708057553956832,1.6753867685744868,-6.01
body,tapping,12.20666,32.31650348434171,50,12.29864,33.03586947222856,0.75
lid,cavity_milling,72.8333,21.929511398207268,40,72.84405000000001,23.157759506956875,0.01
lid,drilling,6.162536585365853,2.403746919889457,41,6.005341463414634,2.448097410334769,-2.55
lid,engraving,1.0176315789473684,0.3418617671461044,19,1.1780526315789472,0.11468482108428522,15.76
lid,face_milling,29.64636363636364,33.792108073500486,33,29.640545454545457,34.61761731139481,-0.02
lid,finishing,11.07468,16.88967723177528,125,11.453752,17.69743553714,3.42
lid,idle,100.63497619047618,48.11857504098629,42,106.08947619047619,48.715691710085586,5.42
lid,profiling,15.325025,29.766897769069434,40,15.595099999999999,30.95539194720571,1.76
lid,spotting,4.105682926829268,1.212069747147919,41,4.311439024390244,1.1536167268373947,5.01
