Dataname,Value,Time
filament_temp,18.5,2025-08-29 09:15:29.309244
bed_temp,16.8,2025-08-29 09:15:29.309244
current,0.07,2025-08-29 09:15:29.309244
power,2,2025-08-29 09:15:29.309244
voltage,122.99,2025-08-29 09:15:29.309244
filament_temp,18.5,2025-08-29 09:15:29.809420
bed_temp,16.8,2025-08-29 09:15:29.809420
current,0.07,2025-08-29 09:15:29.809420
power,2,2025-08-29 09:15:29.809420
voltage,122.99,2025-08-29 09:15:29.809420
filament_temp,18.5,2025-08-29 09:15:30.309659
bed_temp,16.8,2025-08-29 09:15:30.309659
current,0.07,2025-08-29 09:15:30.309659
power,2,2025-08-29 09:15:30.309659
voltage,122.99,2025-08-29 09:15:30.309659
filament_temp,18.5,2025-08-29 09:15:30.809951
bed_temp,16.8,2025-08-29 09:15:30.809951
current,0.07,2025-08-29 09:15:30.809951
power,2,2025-08-29 09:15:30.809951
voltage,122.99,2025-08-29 09:15:30.809951
filament_temp,18.5,2025-08-29 09:15:31.310217
bed_temp,16.8,2025-08-29 09:15:31.310217
current,0.07,2025-08-29 09:15:31.310217
power,2,2025-08-29 09:15:31.310217
voltage,122.99,2025-08-29 09:15:31.310217
filament_temp,18.5,2025-08-29 09:15:31.810510
bed_temp,16.8,2025-08-29 09:15:31.810510
current,0.07,2025-08-29 09:15:31.810510
power,2,2025-08-29 09:15:31.810510
voltage,122.99,2025-08-29 09:15:31.810510
filament_temp,18.5,2025-08-29 09:15:32.310773
bed_temp,16.8,2025-08-29 09:15:32.310773
current,0.07,2025-08-29 09:15:32.310773
power,2,2025-08-29 09:15:32.310773
voltage,122.99,2025-08-29 09:15:32.310773
filament_temp,18.8,2025-08-29 09:15:32.811037
bed_temp,16.4,2025-08-29 09:15:32.811037
current,0.07,2025-08-29 09:15:32.811037
power,2,2025-08-29 09:15:32.811037
voltage,122.99,2025-08-29 09:15:32.811037
filament_temp,18.8,2025-08-29 09:15:33.311304
bed_temp,16.4,2025-08-29 09:15:33.311304
current,0.07,2025-08-29 09:15:33.311304
power,2,2025-08-29 09:15:33.311304
voltage,122.99,2025-08-29 09:15:33.311304
filament_temp,18.8,2025-08-29 09:15:33.811525
bed_temp,16.4,2025-08-29 09:15:33.811525
current,0.07,2025-08-29 09:15:33.811525
power,2,2025-08-29 09:15:33.811525
voltage,122.99,2025-08-29 09:15:33.811525
filament_temp,18.8,2025-08-29 09:15:34.311753
bed_temp,16.4,2025-08-29 09:15:34.311753
current,0.07,2025-08-29 09:15:34.311753
power,2,2025-08-29 09:15:34.311753
voltage,122.99,2025-08-29 09:15:34.311753
filament_temp,18.8,2025-08-29 09:15:34.811991
bed_temp,16.4,2025-08-29 09:15:34.811991
current,0.07,2025-08-29 09:15:34.811991
power,2,2025-08-29 09:15:34.811991
voltage,122.99,2025-08-29 09:15:34.811991
filament_temp,18.8,2025-08-29 09:15:35.312232
bed_temp,16.4,2025-08-29 09:15:35.312232
current,0.07,2025-08-29 09:15:35.312232
power,2,2025-08-29 09:15:35.312232
voltage,122.99,2025-08-29 09:15:35.312232
filament_temp,18.8,2025-08-29 09:15:35.812481
bed_temp,16.4,2025-08-29 09:15:35.812481
current,0.07,2025-08-29 09:15:35.812481
power,2,2025-08-29 09:15:35.812481
voltage,122.99,2025-08-29 09:15:35.812481
filament_temp,18.8,2025-08-29 09:15:36.312727
bed_temp,16.4,2025-08-29 09:15:36.312727
current,0.07,2025-08-29 09:15:36.312727
power,2,2025-08-29 09:15:36.312727
voltage,122.99,2025-08-29 09:15:36.312727
filament_temp,18.8,2025-08-29 09:15:36.812974
bed_temp,16.4,2025-08-29 09:15:36.812974
current,0.07,2025-08-29 09:15:36.812974
power,2,2025-08-29 09:15:36.812974
voltage,122.99,2025-08-29 09:15:36.812974
filament_temp,18.8,2025-08-29 09:15:37.313221
bed_temp,16.4,2025-08-29 09:15:37.313221
current,0.07,2025-08-29 09:15:37.313221
power,2,2025-08-29 09:15:37.313221
voltage,122.99,2025-08-29 09:15:37.313221
filament_temp,18.8,2025-08-29 09:15:37.813463
bed_temp,17.2,2025-08-29 09:15:37.813463
current,0.07,2025-08-29 09:15:37.813463
power,2,2025-08-29 09:15:37.813463
voltage,122.99,2025-08-29 09:15:37.813463
filament_temp,18.8,2025-08-29 09:15:38.313680
bed_temp,17.2,2025-08-29 09:15:38.313680
current,0.07,2025-08-29 09:15:38.313680
power,2,2025-08-29 09:15:38.313680
voltage,122.99,2025-08-29 09:15:38.313680
filament_temp,18.8,2025-08-29 09:15:38.813906
bed_temp,17.2,2025-08-29 09:15:38.813906
current,0.07,2025-08-29 09:15:38.813906
power,2,2025-08-29 09:15:38.813906
voltage,122.99,2025-08-29 09:15:38.813906
filament_temp,18.8,2025-08-29 09:15:39.314126
bed_temp,17.2,2025-08-29 09:15:39.314126
current,0.07,2025-08-29 09:15:39.314126
power,2,2025-08-29 09:15:39.314126
voltage,122.99,2025-08-29 09:15:39.314126
filament_temp,18.8,2025-08-29 09:15:39.814373
bed_temp,17.2,2025-08-29 09:15:39.814373
current,0.07,2025-08-29 09:15:39.814373
power,2,2025-08-29 09:15:39.814373
voltage,122.99,2025-08-29 09:15:39.814373
filament_temp,18.8,2025-08-29 09:15:40.314630
bed_temp,17.2,2025-08-29 09:15:40.314630
current,0.07,2025-08-29 09:15:40.314630
power,2,2025-08-29 09:15:40.314630
voltage,122.99,2025-08-29 09:15:40.314630
filament_temp,18.8,2025-08-29 09:15:40.814885
bed_temp,17.2,2025-08-29 09:15:40.814885
current,0.07,2025-08-29 09:15:40.814885
power,2,2025-08-29 09:15:40.814885
voltage,122.99,2025-08-29 09:15:40.814885
filament_temp,18.8,2025-08-29 09:15:41.315139
bed_temp,17.2,2025-08-29 09:15:41.315139
current,0.07,2025-08-29 09:15:41.315139
power,2,2025-08-29 09:15:41.315139
voltage,122.99,2025-08-29 09:15:41.315139
filament_temp,18.8,2025-08-29 09:15:41.815391
bed_temp,17.2,2025-08-29 09:15:41.815391
current,0.07,2025-08-29 09:15:41.815391
power,2,2025-08-29 09:15:41.815391
voltage,122.99,2025-08-29 09:15:41.815391
filament_temp,18.8,2025-08-29 09:15:42.315622
bed_temp,17.2,2025-08-29 09:15:42.315622
current,0.07,2025-08-29 09:15:42.315622
power,2,2025-08-29 09:15:42.315622
voltage,122.99,2025-08-29 09:15:42.315622
filament_temp,18.5,2025-08-29 09:15:42.815873
bed_temp,17.0,2025-08-29 09:15:42.815873
current,0.07,2025-08-29 09:15:42.815873
power,2,2025-08-29 09:15:42.815873
voltage,122.99,2025-08-29 09:15:42.815873
filament_temp,18.5,2025-08-29 09:15:43.316094
bed_temp,17.0,2025-08-29 09:15:43.316094
current,0.07,2025-08-29 09:15:43.316094
power,2,2025-08-29 09:15:43.316094
voltage,122.99,2025-08-29 09:15:43.316094
filament_temp,18.5,2025-08-29 09:15:43.816345
bed_temp,17.0,2025-08-29 09:15:43.816345
current,0.07,2025-08-29 09:15:43.816345
power,2,2025-08-29 09:15:43.816345
voltage,122.99,2025-08-29 09:15:43.816345
filament_temp,18.5,2025-08-29 09:15:44.316580
bed_temp,17.0,2025-08-29 09:15:44.316580
current,0.07,2025-08-29 09:15:44.316580
power,2,2025-08-29 09:15:44.316580
voltage,122.99,2025-08-29 09:15:44.316580
filament_temp,18.5,2025-08-29 09:15:44.816816
bed_temp,17.0,2025-08-29 09:15:44.816816
current,0.07,2025-08-29 09:15:44.816816
power,2,2025-08-29 09:15:44.816816
voltage,122.99,2025-08-29 09:15:44.816816
filament_temp,18.5,2025-08-29 09:15:45.317066
bed_temp,17.0,2025-08-29 09:15:45.317066
current,0.07,2025-08-29 09:15:45.317066
power,2,2025-08-29 09:15:45.317066
voltage,122.99,2025-08-29 09:15:45.317066
filament_temp,18.5,2025-08-29 09:15:45.817306
bed_temp,17.0,2025-08-29 09:15:45.817306
current,0.07,2025-08-29 09:15:45.817306
power,2,2025-08-29 09:15:45.817306
voltage,122.99,2025-08-29 09:15:45.817306
filament_temp,18.5,2025-08-29 09:15:46.317500
bed_temp,17.0,2025-08-29 09:15:46.317500
current,0.07,2025-08-29 09:15:46.317500
power,2,2025-08-29 09:15:46.317500
voltage,122.99,2025-08-29 09:15:46.317500
filament_temp,18.5,2025-08-29 09:15:46.817735
bed_temp,17.0,2025-08-29 09:15:46.817735
current,0.07,2025-08-29 09:15:46.817735
power,2,2025-08-29 09:15:46.817735
voltage,122.99,2025-08-29 09:15:46.817735
filament_temp,18.5,2025-08-29 09:15:47.317940
bed_temp,17.0,2025-08-29 09:15:47.317940
current,0.07,2025-08-29 09:15:47.317940
power,2,2025-08-29 09:15:47.317940
voltage,122.99,2025-08-29 09:15:47.317940
filament_temp,19.1,2025-08-29 09:15:47.818182
bed_temp,16.7,2025-08-29 09:15:47.818182
current,0.07,2025-08-29 09:15:47.818182
power,2,2025-08-29 09:15:47.818182
voltage,122.99,2025-08-29 09:15:47.818182
filament_temp,19.1,2025-08-29 09:15:48.318395
bed_temp,16.7,2025-08-29 09:15:48.318395
current,0.07,2025-08-29 09:15:48.318395
power,2,2025-08-29 09:15:48.318395
voltage,122.99,2025-08-29 09:15:48.318395
filament_temp,19.1,2025-08-29 09:15:48.818608
bed_temp,16.7,2025-08-29 09:15:48.818608
current,0.07,2025-08-29 09:15:48.818608
power,2,2025-08-29 09:15:48.818608
voltage,122.99,2025-08-29 09:15:48.818608
filament_temp,19.1,2025-08-29 09:15:49.318820
bed_temp,16.7,2025-08-29 09:15:49.318820
current,0.07,2025-08-29 09:15:49.318820
power,2,2025-08-29 09:15:49.318820
voltage,122.99,2025-08-29 09:15:49.318820
filament_temp,19.1,2025-08-29 09:15:49.819034
bed_temp,16.7,2025-08-29 09:15:49.819034
current,0.07,2025-08-29 09:15:49.819034
power,2,2025-08-29 09:15:49.819034
voltage,122.99,2025-08-29 09:15:49.819034
filament_temp,19.1,2025-08-29 09:15:50.319238
bed_temp,16.7,2025-08-29 09:15:50.319238
current,0.07,2025-08-29 09:15:50.319238
power,2,2025-08-29 09:15:50.319238
voltage,122.99,2025-08-29 09:15:50.319238
filament_temp,19.1,2025-08-29 09:15:50.819448
bed_temp,16.7,2025-08-29 09:15:50.819448
current,0.07,2025-08-29 09:15:50.819448
power,2,2025-08-29 09:15:50.819448
voltage,122.99,2025-08-29 09:15:50.819448
filament_temp,19.1,2025-08-29 09:15:51.319674
bed_temp,16.7,2025-08-29 09:15:51.319674
current,0.07,2025-08-29 09:15:51.319674
power,2,2025-08-29 09:15:51.319674
voltage,122.99,2025-08-29 09:15:51.319674
filament_temp,19.1,2025-08-29 09:15:51.819919
bed_temp,16.7,2025-08-29 09:15:51.819919
current,0.07,2025-08-29 09:15:51.819919
power,2,2025-08-29 09:15:51.819919
voltage,122.99,2025-08-29 09:15:51.819919
filament_temp,19.1,2025-08-29 09:15:52.320149
bed_temp,16.7,2025-08-29 09:15:52.320149
current,0.07,2025-08-29 09:15:52.320149
power,2,2025-08-29 09:15:52.320149
voltage,122.99,2025-08-29 09:15:52.320149
filament_temp,18.9,2025-08-29 09:15:52.820386
bed_temp,16.7,2025-08-29 09:15:52.820386
current,0.07,2025-08-29 09:15:52.820386
power,2,2025-08-29 09:15:52.820386
voltage,122.99,2025-08-29 09:15:52.820386
filament_temp,18.9,2025-08-29 09:15:53.320621
bed_temp,16.7,2025-08-29 09:15:53.320621
current,0.07,2025-08-29 09:15:53.320621
power,2,2025-08-29 09:15:53.320621
voltage,122.99,2025-08-29 09:15:53.320621
filament_temp,18.9,2025-08-29 09:15:53.820853
bed_temp,16.7,2025-08-29 09:15:53.820853
current,0.07,2025-08-29 09:15:53.820853
power,2,2025-08-29 09:15:53.820853
voltage,122.99,2025-08-29 09:15:53.820853
filament_temp,18.9,2025-08-29 09:15:54.321082
