Dataname,Value,Time
bed_temp,17.5,2025-09-12 09:30:23.878460
current,0.07,2025-09-12 09:30:23.878460
power,2.4,2025-09-12 09:30:23.878460
voltage,122.04,2025-09-12 09:30:23.878460
filament_temp,18.5,2025-09-12 09:30:24.878746
bed_temp,17.5,2025-09-12 09:30:24.878746
current,0.07,2025-09-12 09:30:24.878746
power,2.4,2025-09-12 09:30:24.878746
voltage,122.04,2025-09-12 09:30:24.878746
filament_temp,18.5,2025-09-12 09:30:25.879043
bed_temp,17.5,2025-09-12 09:30:25.879043
current,0.07,2025-09-12 09:30:25.879043
power,2.4,2025-09-12 09:30:25.879043
voltage,122.04,2025-09-12 09:30:25.879043
filament_temp,18.5,2025-09-12 09:30:26.879344
bed_temp,17.5,2025-09-12 09:30:26.879344
current,0.07,2025-09-12 09:30:26.879344
power,2.4,2025-09-12 09:30:26.879344
voltage,122.04,2025-09-12 09:30:26.879344
filament_temp,19.3,2025-09-12 09:30:27.879645
bed_temp,18.0,2025-09-12 09:30:27.879645
current,0.07,2025-09-12 09:30:27.879645
power,2.4,2025-09-12 09:30:27.879645
voltage,122.04,2025-09-12 09:30:27.879645
filament_temp,19.3,2025-09-12 09:30:28.879885
bed_temp,18.0,2025-09-12 09:30:28.879885
current,0.07,2025-09-12 09:30:28.879885
power,2.4,2025-09-12 09:30:28.879885
voltage,122.04,2025-09-12 09:30:28.879885
filament_temp,19.3,2025-09-12 09:30:29.880171
bed_temp,18.0,2025-09-12 09:30:29.880171
current,0.07,2025-09-12 09:30:29.880171
power,2.4,2025-09-12 09:30:29.880171
voltage,122.04,2025-09-12 09:30:29.880171
filament_temp,19.3,2025-09-12 09:30:30.880459
bed_temp,18.0,2025-09-12 09:30:30.880459
current,0.27,2025-09-12 09:30:30.880459
power,27.2,2025-09-12 09:30:30.880459
voltage,122.04,2025-09-12 09:30:30.880459
filament_temp,19.3,2025-09-12 09:30:31.880772
bed_temp,18.0,2025-09-12 09:30:31.880772
current,0.27,2025-09-12 09:30:31.880772
power,27.2,2025-09-12 09:30:31.880772
voltage,122.04,2025-09-12 09:30:31.880772
filament_temp,19.6,2025-09-12 09:30:32.881102
bed_temp,17.8,2025-09-12 09:30:32.881102
current,0.27,2025-09-12 09:30:32.881102
power,27.2,2025-09-12 09:30:32.881102
voltage,122.04,2025-09-12 09:30:32.881102
filament_temp,19.6,2025-09-12 09:30:33.881386
bed_temp,17.8,2025-09-12 09:30:33.881386
current,1.94,2025-09-12 09:30:33.881386
power,229.6,2025-09-12 09:30:33.881386
voltage,122.04,2025-09-12 09:30:33.881386
filament_temp,19.6,2025-09-12 09:30:34.881717
bed_temp,17.8,2025-09-12 09:30:34.881717
current,1.94,2025-09-12 09:30:34.881717
power,229.6,2025-09-12 09:30:34.881717
voltage,122.04,2025-09-12 09:30:34.881717
filament_temp,19.6,2025-09-12 09:30:35.882014
bed_temp,17.8,2025-09-12 09:30:35.882014
current,1.94,2025-09-12 09:30:35.882014
power,229.6,2025-09-12 09:30:35.882014
voltage,122.04,2025-09-12 09:30:35.882014
filament_temp,19.6,2025-09-12 09:30:36.882318
bed_temp,17.8,2025-09-12 09:30:36.882318
current,1.94,2025-09-12 09:30:36.882318
power,229.6,2025-09-12 09:30:36.882318
voltage,122.04,2025-09-12 09:30:36.882318
filament_temp,18.9,2025-09-12 09:30:37.882605
bed_temp,17.4,2025-09-12 09:30:37.882605
current,1.94,2025-09-12 09:30:37.882605
power,229.6,2025-09-12 09:30:37.882605
voltage,122.04,2025-09-12 09:30:37.882605
filament_temp,18.9,2025-09-12 09:30:38.882890
bed_temp,17.4,2025-09-12 09:30:38.882890
current,1.94,2025-09-12 09:30:38.882890
power,229.6,2025-09-12 09:30:38.882890
voltage,122.04,2025-09-12 09:30:38.882890
filament_temp,18.9,2025-09-12 09:30:39.883236
