Dataname,Value,Time
bed_temp,35.0,2025-09-10 15:08:11.715273
current,0.07,2025-09-10 15:08:11.715273
power,2.4,2025-09-10 15:08:11.715273
voltage,121.84,2025-09-10 15:08:11.715273
filament_temp,28.1,2025-09-10 15:08:12.215521
bed_temp,35.0,2025-09-10 15:08:12.215521
current,0.07,2025-09-10 15:08:12.215521
power,2.4,2025-09-10 15:08:12.215521
voltage,121.84,2025-09-10 15:08:12.215521
filament_temp,28.1,2025-09-10 15:08:12.715807
bed_temp,35.0,2025-09-10 15:08:12.715807
current,0.07,2025-09-10 15:08:12.715807
power,2.4,2025-09-10 15:08:12.715807
voltage,121.84,2025-09-10 15:08:12.715807
filament_temp,28.1,2025-09-10 15:08:13.216042
bed_temp,35.0,2025-09-10 15:08:13.216042
current,0.07,2025-09-10 15:08:13.216042
power,2.4,2025-09-10 15:08:13.216042
voltage,121.84,2025-09-10 15:08:13.216042
filament_temp,28.2,2025-09-10 15:08:13.716306
bed_temp,34.4,2025-09-10 15:08:13.716306
current,0.07,2025-09-10 15:08:13.716306
power,2.4,2025-09-10 15:08:13.716306
voltage,121.84,2025-09-10 15:08:13.716306
filament_temp,28.2,2025-09-10 15:08:14.216571
bed_temp,34.4,2025-09-10 15:08:14.216571
current,0.07,2025-09-10 15:08:14.216571
power,2.4,2025-09-10 15:08:14.216571
voltage,121.84,2025-09-10 15:08:14.216571
filament_temp,28.2,2025-09-10 15:08:14.716807
bed_temp,34.4,2025-09-10 15:08:14.716807
current,0.07,2025-09-10 15:08:14.716807
power,2.4,2025-09-10 15:08:14.716807
voltage,121.84,2025-09-10 15:08:14.716807
filament_temp,28.2,2025-09-10 15:08:15.217006
bed_temp,34.4,2025-09-10 15:08:15.217006
current,0.07,2025-09-10 15:08:15.217006
power,2.4,2025-09-10 15:08:15.217006
voltage,121.84,2025-09-10 15:08:15.217006
filament_temp,28.2,2025-09-10 15:08:15.717217
bed_temp,34.4,2025-09-10 15:08:15.717217
current,0.07,2025-09-10 15:08:15.717217
power,2.4,2025-09-10 15:08:15.717217
voltage,121.84,2025-09-10 15:08:15.717217
filament_temp,28.2,2025-09-10 15:08:16.217435
bed_temp,34.4,2025-09-10 15:08:16.217435
current,0.07,2025-09-10 15:08:16.217435
power,2.4,2025-09-10 15:08:16.217435
voltage,121.84,2025-09-10 15:08:16.217435
filament_temp,28.2,2025-09-10 15:08:16.717643
bed_temp,34.4,2025-09-10 15:08:16.717643
current,0.07,2025-09-10 15:08:16.717643
power,2.4,2025-09-10 15:08:16.717643
voltage,121.84,2025-09-10 15:08:16.717643
filament_temp,28.2,2025-09-10 15:08:17.217869
bed_temp,34.4,2025-09-10 15:08:17.217869
current,0.07,2025-09-10 15:08:17.217869
power,2.4,2025-09-10 15:08:17.217869
voltage,121.84,2025-09-10 15:08:17.217869
filament_temp,28.2,2025-09-10 15:08:17.718095
bed_temp,34.4,2025-09-10 15:08:17.718095
current,0.07,2025-09-10 15:08:17.718095
power,2.4,2025-09-10 15:08:17.718095
voltage,121.84,2025-09-10 15:08:17.718095
filament_temp,28.2,2025-09-10 15:08:18.218301
bed_temp,34.4,2025-09-10 15:08:18.218301
current,0.07,2025-09-10 15:08:18.218301
power,2.4,2025-09-10 15:08:18.218301
voltage,121.84,2025-09-10 15:08:18.218301
filament_temp,27.9,2025-09-10 15:08:18.718536
bed_temp,34.3,2025-09-10 15:08:18.718536
current,0.07,2025-09-10 15:08:18.718536
power,2.4,2025-09-10 15:08:18.718536
voltage,121.84,2025-09-10 15:08:18.718536
filament_temp,27.9,2025-09-10 15:08:19.218761
bed_temp,34.3,2025-09-10 15:08:19.218761
current,0.07,2025-09-10 15:08:19.218761
power,2.4,2025-09-10 15:08:19.218761
voltage,121.84,2025-09-10 15:08:19.218761
filament_temp,27.9,2025-09-10 15:08:19.718973
bed_temp,34.3,2025-09-10 15:08:19.718973
current,0.07,2025-09-10 15:08:19.718973
power,2.4,2025-09-10 15:08:19.718973
voltage,121.84,2025-09-10 15:08:19.718973
filament_temp,27.9,2025-09-10 15:08:20.219184
bed_temp,34.3,2025-09-10 15:08:20.219184
current,0.07,2025-09-10 15:08:20.219184
power,2.4,2025-09-10 15:08:20.219184
voltage,121.84,2025-09-10 15:08:20.219184
filament_temp,27.9,2025-09-10 15:08:20.719424
bed_temp,34.3,2025-09-10 15:08:20.719424
current,0.07,2025-09-10 15:08:20.719424
power,2.4,2025-09-10 15:08:20.719424
voltage,121.84,2025-09-10 15:08:20.719424
filament_temp,27.9,2025-09-10 15:08:21.219610
bed_temp,34.3,2025-09-10 15:08:21.219610
current,0.07,2025-09-10 15:08:21.219610
power,2.4,2025-09-10 15:08:21.219610
voltage,121.84,2025-09-10 15:08:21.219610
filament_temp,27.9,2025-09-10 15:08:21.719840
bed_temp,34.3,2025-09-10 15:08:21.719840
current,0.07,2025-09-10 15:08:21.719840
power,2.4,2025-09-10 15:08:21.719840
voltage,121.84,2025-09-10 15:08:21.719840
filament_temp,27.9,2025-09-10 15:08:22.219975
bed_temp,34.3,2025-09-10 15:08:22.219975
current,0.07,2025-09-10 15:08:22.219975
power,2.4,2025-09-10 15:08:22.219975
voltage,121.84,2025-09-10 15:08:22.219975
filament_temp,27.9,2025-09-10 15:08:22.720220
bed_temp,34.3,2025-09-10 15:08:22.720220
current,0.07,2025-09-10 15:08:22.720220
power,2.4,2025-09-10 15:08:22.720220
voltage,121.84,2025-09-10 15:08:22.720220
filament_temp,27.9,2025-09-10 15:08:23.220398
bed_temp,34.3,2025-09-10 15:08:23.220398
current,0.07,2025-09-10 15:08:23.220398
power,2.4,2025-09-10 15:08:23.220398
voltage,121.84,2025-09-10 15:08:23.220398
filament_temp,28.1,2025-09-10 15:08:23.720588
bed_temp,34.6,2025-09-10 15:08:23.720588
current,0.07,2025-09-10 15:08:23.720588
power,2.4,2025-09-10 15:08:23.720588
voltage,121.84,2025-09-10 15:08:23.720588
filament_temp,28.1,2025-09-10 15:08:24.220807
bed_temp,34.6,2025-09-10 15:08:24.220807
current,0.07,2025-09-10 15:08:24.220807
power,2.4,2025-09-10 15:08:24.220807
voltage,121.84,2025-09-10 15:08:24.220807
filament_temp,28.1,2025-09-10 15:08:24.721049
bed_temp,34.6,2025-09-10 15:08:24.721049
current,0.07,2025-09-10 15:08:24.721049
power,2.4,2025-09-10 15:08:24.721049
voltage,121.84,2025-09-10 15:08:24.721049
filament_temp,28.1,2025-09-10 15:08:25.221270
bed_temp,34.6,2025-09-10 15:08:25.221270
current,0.07,2025-09-10 15:08:25.221270
power,2.4,2025-09-10 15:08:25.221270
voltage,121.84,2025-09-10 15:08:25.221270
filament_temp,28.1,2025-09-10 15:08:25.721481
bed_temp,34.6,2025-09-10 15:08:25.721481
current,0.07,2025-09-10 15:08:25.721481
power,2.4,2025-09-10 15:08:25.721481
voltage,121.84,2025-09-10 15:08:25.721481
filament_temp,28.1,2025-09-10 15:08:26.221706
bed_temp,34.6,2025-09-10 15:08:26.221706
current,0.07,2025-09-10 15:08:26.221706
power,2.4,2025-09-10 15:08:26.221706
voltage,121.84,2025-09-10 15:08:26.221706
filament_temp,28.1,2025-09-10 15:08:26.721915
bed_temp,34.6,2025-09-10 15:08:26.721915
current,0.07,2025-09-10 15:08:26.721915
power,2.4,2025-09-10 15:08:26.721915
voltage,121.84,2025-09-10 15:08:26.721915
filament_temp,28.1,2025-09-10 15:08:27.222137
bed_temp,34.6,2025-09-10 15:08:27.222137
current,0.07,2025-09-10 15:08:27.222137
power,2.4,2025-09-10 15:08:27.222137
voltage,121.84,2025-09-10 15:08:27.222137
filament_temp,28.1,2025-09-10 15:08:27.722337
bed_temp,34.6,2025-09-10 15:08:27.722337
current,0.07,2025-09-10 15:08:27.722337
power,2.4,2025-09-10 15:08:27.722337
voltage,121.84,2025-09-10 15:08:27.722337
filament_temp,28.1,2025-09-10 15:08:28.222540
bed_temp,34.6,2025-09-10 15:08:28.222540
current,0.07,2025-09-10 15:08:28.222540
power,2.4,2025-09-10 15:08:28.222540
voltage,121.84,2025-09-10 15:08:28.222540
filament_temp,26.9,2025-09-10 15:08:28.722772
bed_temp,35.0,2025-09-10 15:08:28.722772
current,0.07,2025-09-10 15:08:28.722772
power,2.4,2025-09-10 15:08:28.722772
voltage,121.84,2025-09-10 15:08:28.722772
filament_temp,26.9,2025-09-10 15:08:29.223008
bed_temp,35.0,2025-09-10 15:08:29.223008
current,0.07,2025-09-10 15:08:29.223008
power,2.4,2025-09-10 15:08:29.223008
voltage,121.84,2025-09-10 15:08:29.223008
filament_temp,26.9,2025-09-10 15:08:29.723254
bed_temp,35.0,2025-09-10 15:08:29.723254
current,0.07,2025-09-10 15:08:29.723254
power,2.4,2025-09-10 15:08:29.723254
voltage,121.84,2025-09-10 15:08:29.723254
filament_temp,26.9,2025-09-10 15:08:30.223499
bed_temp,35.0,2025-09-10 15:08:30.223499
current,0.07,2025-09-10 15:08:30.223499
power,2.4,2025-09-10 15:08:30.223499
voltage,121.84,2025-09-10 15:08:30.223499
filament_temp,26.9,2025-09-10 15:08:30.723710
bed_temp,35.0,2025-09-10 15:08:30.723710
current,0.07,2025-09-10 15:08:30.723710
power,2.4,2025-09-10 15:08:30.723710
voltage,121.84,2025-09-10 15:08:30.723710
filament_temp,26.9,2025-09-10 15:08:31.223912
bed_temp,35.0,2025-09-10 15:08:31.223912
current,0.07,2025-09-10 15:08:31.223912
power,2.4,2025-09-10 15:08:31.223912
voltage,121.84,2025-09-10 15:08:31.223912
filament_temp,26.9,2025-09-10 15:08:31.724148
bed_temp,35.0,2025-09-10 15:08:31.724148
current,0.07,2025-09-10 15:08:31.724148
power,2.4,2025-09-10 15:08:31.724148
voltage,121.84,2025-09-10 15:08:31.724148
filament_temp,26.9,2025-09-10 15:08:32.224373
bed_temp,35.0,2025-09-10 15:08:32.224373
current,0.07,2025-09-10 15:08:32.224373
power,2.4,2025-09-10 15:08:32.224373
voltage,121.84,2025-09-10 15:08:32.224373
filament_temp,26.9,2025-09-10 15:08:32.724604
bed_temp,35.0,2025-09-10 15:08:32.724604
current,0.07,2025-09-10 15:08:32.724604
power,2.4,2025-09-10 15:08:32.724604
voltage,121.84,2025-09-10 15:08:32.724604
filament_temp,26.9,2025-09-10 15:08:33.224823
bed_temp,35.0,2025-09-10 15:08:33.224823
current,0.07,2025-09-10 15:08:33.224823
power,2.4,2025-09-10 15:08:33.224823
voltage,121.84,2025-09-10 15:08:33.224823
filament_temp,27.4,2025-09-10 15:08:33.724990
bed_temp,34.0,2025-09-10 15:08:33.724990
current,0.07,2025-09-10 15:08:33.724990
power,2.4,2025-09-10 15:08:33.724990
voltage,121.84,2025-09-10 15:08:33.724990
filament_temp,27.4,2025-09-10 15:08:34.225223
