Dataname,Value,Time
filament_temp,34.1,2025-09-11 09:43:00.329500
bed_temp,36.5,2025-09-11 09:43:00.329500
current,0.07,2025-09-11 09:43:00.329500
power,2.8,2025-09-11 09:43:00.329500
voltage,122.04,2025-09-11 09:43:00.329500
filament_temp,33.4,2025-09-11 09:43:01.329841
bed_temp,36.8,2025-09-11 09:43:01.329841
current,0.07,2025-09-11 09:43:01.329841
power,2.8,2025-09-11 09:43:01.329841
voltage,122.04,2025-09-11 09:43:01.329841
filament_temp,33.4,2025-09-11 09:43:02.330167
bed_temp,36.8,2025-09-11 09:43:02.330167
current,0.07,2025-09-11 09:43:02.330167
power,2.8,2025-09-11 09:43:02.330167
voltage,122.04,2025-09-11 09:43:02.330167
filament_temp,33.4,2025-09-11 09:43:03.330470
bed_temp,36.8,2025-09-11 09:43:03.330470
current,0.07,2025-09-11 09:43:03.330470
power,2.8,2025-09-11 09:43:03.330470
voltage,122.04,2025-09-11 09:43:03.330470
filament_temp,33.4,2025-09-11 09:43:04.330784
bed_temp,36.8,2025-09-11 09:43:04.330784
current,0.07,2025-09-11 09:43:04.330784
power,2.8,2025-09-11 09:43:04.330784
voltage,122.04,2025-09-11 09:43:04.330784
filament_temp,33.4,2025-09-11 09:43:05.331101
bed_temp,36.8,2025-09-11 09:43:05.331101
current,0.07,2025-09-11 09:43:05.331101
power,2.8,2025-09-11 09:43:05.331101
voltage,122.04,2025-09-11 09:43:05.331101
filament_temp,33.2,2025-09-11 09:43:06.331409
bed_temp,35.7,2025-09-11 09:43:06.331409
current,0.07,2025-09-11 09:43:06.331409
power,2.8,2025-09-11 09:43:06.331409
voltage,122.04,2025-09-11 09:43:06.331409
filament_temp,33.2,2025-09-11 09:43:07.331766
bed_temp,35.7,2025-09-11 09:43:07.331766
current,0.07,2025-09-11 09:43:07.331766
power,2.8,2025-09-11 09:43:07.331766
voltage,122.04,2025-09-11 09:43:07.331766
filament_temp,33.2,2025-09-11 09:43:08.332072
bed_temp,35.7,2025-09-11 09:43:08.332072
current,0.07,2025-09-11 09:43:08.332072
power,2.8,2025-09-11 09:43:08.332072
voltage,122.04,2025-09-11 09:43:08.332072
filament_temp,33.2,2025-09-11 09:43:09.332418
bed_temp,35.7,2025-09-11 09:43:09.332418
current,0.07,2025-09-11 09:43:09.332418
power,2.8,2025-09-11 09:43:09.332418
voltage,122.04,2025-09-11 09:43:09.332418
filament_temp,33.2,2025-09-11 09:43:10.332730
bed_temp,35.7,2025-09-11 09:43:10.332730
current,0.07,2025-09-11 09:43:10.332730
power,2.8,2025-09-11 09:43:10.332730
voltage,122.04,2025-09-11 09:43:10.332730
filament_temp,33.7,2025-09-11 09:43:11.333071
bed_temp,36.2,2025-09-11 09:43:11.333071
current,0.07,2025-09-11 09:43:11.333071
power,2.8,2025-09-11 09:43:11.333071
voltage,122.04,2025-09-11 09:43:11.333071
filament_temp,33.7,2025-09-11 09:43:12.333373
bed_temp,36.2,2025-09-11 09:43:12.333373
current,0.07,2025-09-11 09:43:12.333373
power,2.8,2025-09-11 09:43:12.333373
voltage,122.04,2025-09-11 09:43:12.333373
filament_temp,33.7,2025-09-11 09:43:13.333691
bed_temp,36.2,2025-09-11 09:43:13.333691
current,0.07,2025-09-11 09:43:13.333691
power,2.8,2025-09-11 09:43:13.333691
voltage,122.04,2025-09-11 09:43:13.333691
filament_temp,33.7,2025-09-11 09:43:14.333995
bed_temp,36.2,2025-09-11 09:43:14.333995
current,0.07,2025-09-11 09:43:14.333995
power,2.8,2025-09-11 09:43:14.333995
voltage,122.04,2025-09-11 09:43:14.333995
filament_temp,33.7,2025-09-11 09:43:15.334301
bed_temp,36.2,2025-09-11 09:43:15.334301
current,0.07,2025-09-11 09:43:15.334301
power,2.8,2025-09-11 09:43:15.334301
voltage,122.04,2025-09-11 09:43:15.334301
filament_temp,33.5,2025-09-11 09:43:16.334618
bed_temp,35.6,2025-09-11 09:43:16.334618
current,0.07,2025-09-11 09:43:16.334618
power,2.8,2025-09-11 09:43:16.334618
voltage,122.04,2025-09-11 09:43:16.334618
filament_temp,33.5,2025-09-11 09:43:17.334948
bed_temp,35.6,2025-09-11 09:43:17.334948
current,0.07,2025-09-11 09:43:17.334948
power,2.8,2025-09-11 09:43:17.334948
voltage,122.04,2025-09-11 09:43:17.334948
filament_temp,33.5,2025-09-11 09:43:18.335279
bed_temp,35.6,2025-09-11 09:43:18.335279
current,0.07,2025-09-11 09:43:18.335279
power,2.8,2025-09-11 09:43:18.335279
voltage,122.04,2025-09-11 09:43:18.335279
filament_temp,33.5,2025-09-11 09:43:19.335579
bed_temp,35.6,2025-09-11 09:43:19.335579
current,0.07,2025-09-11 09:43:19.335579
power,2.8,2025-09-11 09:43:19.335579
voltage,122.04,2025-09-11 09:43:19.335579
filament_temp,33.5,2025-09-11 09:43:20.335908
bed_temp,35.6,2025-09-11 09:43:20.335908
current,0.07,2025-09-11 09:43:20.335908
power,2.8,2025-09-11 09:43:20.335908
voltage,122.04,2025-09-11 09:43:20.335908
filament_temp,33.2,2025-09-11 09:43:21.336247
bed_temp,36.0,2025-09-11 09:43:21.336247
current,0.07,2025-09-11 09:43:21.336247
power,2.8,2025-09-11 09:43:21.336247
voltage,122.04,2025-09-11 09:43:21.336247
filament_temp,33.2,2025-09-11 09:43:22.336592
bed_temp,36.0,2025-09-11 09:43:22.336592
current,0.07,2025-09-11 09:43:22.336592
power,2.8,2025-09-11 09:43:22.336592
voltage,122.04,2025-09-11 09:43:22.336592
filament_temp,33.2,2025-09-11 09:43:23.336937
bed_temp,36.0,2025-09-11 09:43:23.336937
current,0.07,2025-09-11 09:43:23.336937
power,2.8,2025-09-11 09:43:23.336937
voltage,122.04,2025-09-11 09:43:23.336937
filament_temp,33.2,2025-09-11 09:43:24.337241
bed_temp,36.0,2025-09-11 09:43:24.337241
current,0.07,2025-09-11 09:43:24.337241
power,2.8,2025-09-11 09:43:24.337241
voltage,122.04,2025-09-11 09:43:24.337241
filament_temp,33.2,2025-09-11 09:43:25.337577
bed_temp,36.0,2025-09-11 09:43:25.337577
current,0.07,2025-09-11 09:43:25.337577
power,2.8,2025-09-11 09:43:25.337577
voltage,122.04,2025-09-11 09:43:25.337577
filament_temp,32.6,2025-09-11 09:43:26.337890
bed_temp,35.4,2025-09-11 09:43:26.337890
current,0.07,2025-09-11 09:43:26.337890
power,2.8,2025-09-11 09:43:26.337890
voltage,122.04,2025-09-11 09:43:26.337890
filament_temp,32.6,2025-09-11 09:43:27.338222
bed_temp,35.4,2025-09-11 09:43:27.338222
current,0.07,2025-09-11 09:43:27.338222
power,2.8,2025-09-11 09:43:27.338222
voltage,122.04,2025-09-11 09:43:27.338222
filament_temp,32.6,2025-09-11 09:43:28.338554
bed_temp,35.4,2025-09-11 09:43:28.338554
current,0.07,2025-09-11 09:43:28.338554
power,2.8,2025-09-11 09:43:28.338554
voltage,122.04,2025-09-11 09:43:28.338554
filament_temp,32.6,2025-09-11 09:43:29.338891
bed_temp,35.4,2025-09-11 09:43:29.338891
current,0.07,2025-09-11 09:43:29.338891
power,2.8,2025-09-11 09:43:29.338891
voltage,122.04,2025-09-11 09:43:29.338891
filament_temp,32.6,2025-09-11 09:43:30.339237
bed_temp,35.4,2025-09-11 09:43:30.339237
current,0.07,2025-09-11 09:43:30.339237
power,2.8,2025-09-11 09:43:30.339237
