Dataname,Value,Time
filament_temp,42.2,2025-08-29 11:55:00.424223
bed_temp,43.2,2025-08-29 11:55:00.424223
current,0.07,2025-08-29 11:55:00.424223
power,3,2025-08-29 11:55:00.424223
voltage,122.99,2025-08-29 11:55:00.424223
filament_temp,42.2,2025-08-29 11:55:00.924485
bed_temp,43.2,2025-08-29 11:55:00.924485
current,0.07,2025-08-29 11:55:00.924485
power,3,2025-08-29 11:55:00.924485
voltage,122.99,2025-08-29 11:55:00.924485
filament_temp,42.2,2025-08-29 11:55:01.424734
bed_temp,43.2,2025-08-29 11:55:01.424734
current,0.07,2025-08-29 11:55:01.424734
power,3,2025-08-29 11:55:01.424734
voltage,122.99,2025-08-29 11:55:01.424734
filament_temp,42.2,2025-08-29 11:55:01.924986
bed_temp,43.2,2025-08-29 11:55:01.924986
current,0.07,2025-08-29 11:55:01.924986
power,3,2025-08-29 11:55:01.924986
voltage,122.99,2025-08-29 11:55:01.924986
filament_temp,42.2,2025-08-29 11:55:02.425236
bed_temp,43.2,2025-08-29 11:55:02.425236
current,0.07,2025-08-29 11:55:02.425236
power,3,2025-08-29 11:55:02.425236
voltage,122.99,2025-08-29 11:55:02.425236
filament_temp,42.2,2025-08-29 11:55:02.925470
bed_temp,43.2,2025-08-29 11:55:02.925470
current,0.07,2025-08-29 11:55:02.925470
power,3,2025-08-29 11:55:02.925470
voltage,122.99,2025-08-29 11:55:02.925470
filament_temp,42.5,2025-08-29 11:55:03.425698
bed_temp,43.2,2025-08-29 11:55:03.425698
current,0.07,2025-08-29 11:55:03.425698
power,3,2025-08-29 11:55:03.425698
voltage,122.99,2025-08-29 11:55:03.425698
filament_temp,42.5,2025-08-29 11:55:03.925931
bed_temp,43.2,2025-08-29 11:55:03.925931
current,0.07,2025-08-29 11:55:03.925931
power,3,2025-08-29 11:55:03.925931
voltage,122.99,2025-08-29 11:55:03.925931
filament_temp,42.5,2025-08-29 11:55:04.426174
bed_temp,43.2,2025-08-29 11:55:04.426174
current,0.07,2025-08-29 11:55:04.426174
power,3,2025-08-29 11:55:04.426174
voltage,122.99,2025-08-29 11:55:04.426174
filament_temp,42.5,2025-08-29 11:55:04.926427
bed_temp,43.2,2025-08-29 11:55:04.926427
current,0.07,2025-08-29 11:55:04.926427
power,3,2025-08-29 11:55:04.926427
voltage,122.99,2025-08-29 11:55:04.926427
filament_temp,42.5,2025-08-29 11:55:05.426679
bed_temp,43.2,2025-08-29 11:55:05.426679
current,0.07,2025-08-29 11:55:05.426679
power,3,2025-08-29 11:55:05.426679
voltage,122.99,2025-08-29 11:55:05.426679
filament_temp,42.5,2025-08-29 11:55:05.926930
bed_temp,43.2,2025-08-29 11:55:05.926930
current,0.07,2025-08-29 11:55:05.926930
power,3,2025-08-29 11:55:05.926930
voltage,122.99,2025-08-29 11:55:05.926930
filament_temp,42.5,2025-08-29 11:55:06.427181
bed_temp,43.2,2025-08-29 11:55:06.427181
current,0.07,2025-08-29 11:55:06.427181
power,3,2025-08-29 11:55:06.427181
voltage,122.99,2025-08-29 11:55:06.427181
filament_temp,42.5,2025-08-29 11:55:06.927414
bed_temp,43.2,2025-08-29 11:55:06.927414
current,0.07,2025-08-29 11:55:06.927414
power,3,2025-08-29 11:55:06.927414
voltage,122.99,2025-08-29 11:55:06.927414
filament_temp,42.5,2025-08-29 11:55:07.427616
bed_temp,43.2,2025-08-29 11:55:07.427616
current,0.07,2025-08-29 11:55:07.427616
power,3,2025-08-29 11:55:07.427616
voltage,122.99,2025-08-29 11:55:07.427616
filament_temp,42.5,2025-08-29 11:55:07.927852
bed_temp,43.2,2025-08-29 11:55:07.927852
current,0.07,2025-08-29 11:55:07.927852
power,3,2025-08-29 11:55:07.927852
voltage,122.99,2025-08-29 11:55:07.927852
filament_temp,41.9,2025-08-29 11:55:08.428094
bed_temp,43.5,2025-08-29 11:55:08.428094
current,0.07,2025-08-29 11:55:08.428094
power,3,2025-08-29 11:55:08.428094
voltage,122.99,2025-08-29 11:55:08.428094
filament_temp,41.9,2025-08-29 11:55:08.928338
bed_temp,43.5,2025-08-29 11:55:08.928338
current,0.07,2025-08-29 11:55:08.928338
power,3,2025-08-29 11:55:08.928338
voltage,122.99,2025-08-29 11:55:08.928338
filament_temp,41.9,2025-08-29 11:55:09.428592
bed_temp,43.5,2025-08-29 11:55:09.428592
current,0.07,2025-08-29 11:55:09.428592
power,3,2025-08-29 11:55:09.428592
voltage,122.99,2025-08-29 11:55:09.428592
filament_temp,41.9,2025-08-29 11:55:09.928843
bed_temp,43.5,2025-08-29 11:55:09.928843
current,0.07,2025-08-29 11:55:09.928843
power,3,2025-08-29 11:55:09.928843
voltage,122.99,2025-08-29 11:55:09.928843
filament_temp,41.9,2025-08-29 11:55:10.429093
bed_temp,43.5,2025-08-29 11:55:10.429093
current,0.07,2025-08-29 11:55:10.429093
power,3,2025-08-29 11:55:10.429093
voltage,122.99,2025-08-29 11:55:10.429093
filament_temp,41.9,2025-08-29 11:55:10.929341
bed_temp,43.5,2025-08-29 11:55:10.929341
current,0.07,2025-08-29 11:55:10.929341
power,3,2025-08-29 11:55:10.929341
voltage,122.99,2025-08-29 11:55:10.929341
