Dataname,Value,Time
filament_temp,95.1,2025-09-03 15:07:00.266571
bed_temp,52.8,2025-09-03 15:07:00.266571
current,0.07,2025-09-03 15:07:00.266571
power,3,2025-09-03 15:07:00.266571
voltage,119.35,2025-09-03 15:07:00.266571
filament_temp,95.1,2025-09-03 15:07:00.766780
bed_temp,52.8,2025-09-03 15:07:00.766780
current,0.07,2025-09-03 15:07:00.766780
power,3,2025-09-03 15:07:00.766780
voltage,119.35,2025-09-03 15:07:00.766780
filament_temp,95.1,2025-09-03 15:07:01.267009
bed_temp,52.8,2025-09-03 15:07:01.267009
current,0.07,2025-09-03 15:07:01.267009
power,3,2025-09-03 15:07:01.267009
voltage,119.35,2025-09-03 15:07:01.267009
filament_temp,95.1,2025-09-03 15:07:01.767235
bed_temp,52.8,2025-09-03 15:07:01.767235
current,0.07,2025-09-03 15:07:01.767235
power,3,2025-09-03 15:07:01.767235
voltage,119.35,2025-09-03 15:07:01.767235
filament_temp,95.1,2025-09-03 15:07:02.267378
bed_temp,52.8,2025-09-03 15:07:02.267378
current,0.07,2025-09-03 15:07:02.267378
power,3,2025-09-03 15:07:02.267378
voltage,119.35,2025-09-03 15:07:02.267378
filament_temp,95.1,2025-09-03 15:07:02.767614
bed_temp,52.8,2025-09-03 15:07:02.767614
current,0.07,2025-09-03 15:07:02.767614
power,3,2025-09-03 15:07:02.767614
voltage,119.35,2025-09-03 15:07:02.767614
filament_temp,95.1,2025-09-03 15:07:03.267850
bed_temp,52.8,2025-09-03 15:07:03.267850
current,0.07,2025-09-03 15:07:03.267850
power,3,2025-09-03 15:07:03.267850
voltage,119.35,2025-09-03 15:07:03.267850
filament_temp,95.1,2025-09-03 15:07:03.768081
bed_temp,52.8,2025-09-03 15:07:03.768081
current,0.07,2025-09-03 15:07:03.768081
power,3,2025-09-03 15:07:03.768081
voltage,119.35,2025-09-03 15:07:03.768081
filament_temp,95.1,2025-09-03 15:07:04.268315
bed_temp,52.8,2025-09-03 15:07:04.268315
current,0.07,2025-09-03 15:07:04.268315
