Dataname,Value,Time
featureId,UNAVAILABLE,2025-07-30 14:34:00.077145
partKindId,NONE,2025-07-30 14:34:00.077145
processKindId,NONE,2025-07-30 14:34:00.077145
A_Axis_Load,17,2025-07-30 14:34:00.077145
A_Position,-90.0003437746771,2025-07-30 14:34:00.077145
C_Axis_Load,42,2025-07-30 14:34:00.077145
C_Position,120,2025-07-30 14:34:00.077145
Machine_Time,2739643.356,2025-07-30 14:34:00.077145
Spindle_Time,754996.344000001,2025-07-30 14:34:00.077145
Feed_Override,100,2025-07-30 14:34:00.077145
Feed_Rate,0,2025-07-30 14:34:00.077145
Program_Runtime_Seconds,13,2025-07-30 14:34:00.077145
Rapid_Override,100,2025-07-30 14:34:00.077145
Rapid_Speed,0,2025-07-30 14:34:00.077145
S_Axis_Load,0,2025-07-30 14:34:00.077145
Spindle_Override,100,2025-07-30 14:34:00.077145
Spindle_Speed,0,2025-07-30 14:34:00.077145
X_Axis_Load,4,2025-07-30 14:34:00.077145
X_Position,379.846805990744,2025-07-30 14:34:00.077145
Y_Axis_Load,5,2025-07-30 14:34:00.077145
Y_Position,496.953400028809,2025-07-30 14:34:00.077145
Z_Axis_Load,40,2025-07-30 14:34:00.077145
Z_Position,-4.30259193467025,2025-07-30 14:34:00.077145
COR_Status,1,2025-07-30 14:34:00.077145
Controller_Mode,AUTO,2025-07-30 14:34:00.077145
EStop_State,ARMED,2025-07-30 14:34:00.077145
Machine_Mode,4,2025-07-30 14:34:00.077145
Block_Number,66,2025-07-30 14:34:00.077145
Current_Tool,72,2025-07-30 14:34:00.077145
Part_Count,24,2025-07-30 14:34:00.077145
Program_Name_Running,000454_D_A_PROGRAM_4.NC,2025-07-30 14:34:00.077145
spindle motor v_rms,0.0,2025-07-30 14:34:00.077145
spindle motor a_peak,200,2025-07-30 14:34:00.077145
spindle motor a_rms,100,2025-07-30 14:34:00.077145
spindle motor temp,33.7,2025-07-30 14:34:00.077145
spindle motor crest,3.9,2025-07-30 14:34:00.077145
z-axis bearing v_rms,0.0,2025-07-30 14:34:00.077145
z-axis bearing a_peak,200,2025-07-30 14:34:00.077145
z-axis bearing a_rms,0,2025-07-30 14:34:00.077145
z-axis bearing temp,24.9,2025-07-30 14:34:00.077145
z-axis bearing crest,4.4,2025-07-30 14:34:00.077145
z-axis motor v_rms,0.0,2025-07-30 14:34:00.077145
z-axis motor a_peak,900,2025-07-30 14:34:00.077145
z-axis motor a_rms,500,2025-07-30 14:34:00.077145
z-axis motor temp,29.9,2025-07-30 14:34:00.077145
z-axis motor crest,1.9,2025-07-30 14:34:00.077145
y-axis bearing v_rms,0.0,2025-07-30 14:34:00.077145
y-axis bearing a_peak,200,2025-07-30 14:34:00.077145
y-axis bearing a_rms,0,2025-07-30 14:34:00.077145
y-axis bearing temp,22.7,2025-07-30 14:34:00.077145
y-axis bearing crest,4.1,2025-07-30 14:34:00.077145
y-axis motor v_rms,0.0,2025-07-30 14:34:00.077145
y-axis motor a_peak,400,2025-07-30 14:34:00.077145
y-axis motor a_rms,200,2025-07-30 14:34:00.077145
y-axis motor temp,25.6,2025-07-30 14:34:00.077145
y-axis motor crest,2.3,2025-07-30 14:34:00.077145
x-axis motor v_rms,0.0,2025-07-30 14:34:00.077145
x-axis motor a_peak,200,2025-07-30 14:34:00.077145
x-axis motor a_rms,0,2025-07-30 14:34:00.077145
x-axis motor temp,23.6,2025-07-30 14:34:00.077145
x-axis motor crest,4.1,2025-07-30 14:34:00.077145
voltage,132.46666666666667,2025-07-30 14:34:00.077145
current,3.69,2025-07-30 14:34:00.077145
active power,397.6666666666667,2025-07-30 14:34:00.077145
forward kWh,48.988,2025-07-30 14:34:00.077145
reverse kWh,1.569,2025-07-30 14:34:00.077145
frequency,59.97,2025-07-30 14:34:00.077145
power factor,0.7666666666666666,2025-07-30 14:34:00.077145
