Dataname,Value,Time
featureId,UNAVAILABLE,51:01.0
partKindId,NONE,51:01.0
processKindId,NONE,51:01.0
A_Axis_Load,106,51:01.0
A_Position,-89.9995632,51:01.0
C_Axis_Load,21,51:01.0
C_Position,-59.9995,51:01.0
Machine_Time,2647050.354,51:01.0
Spindle_Time,709602.711,51:01.0
Feed_Override,100,51:01.0
Feed_Rate,0,51:01.0
Program_Runtime_Seconds,40,51:01.0
Rapid_Override,100,51:01.0
Rapid_Speed,0,51:01.0
S_Axis_Load,0,51:01.0
Spindle_Override,100,51:01.0
Spindle_Speed,0,51:01.0
X_Axis_Load,4,51:01.0
X_Position,379.846806,51:01.0
Y_Axis_Load,6,51:01.0
Y_Position,496.9534,51:01.0
Z_Axis_Load,40,51:01.0
Z_Position,-4.302603378,51:01.0
COR_Status,1,51:01.0
Controller_Mode,AUTO,51:01.0
EStop_State,ARMED,51:01.0
Machine_Mode,4,51:01.0
Block_Number,66,51:01.0
Current_Tool,72,51:01.0
Part_Count,9,51:01.0
Program_Name_Running,000454_D_A_PROGRAM_3.NC,51:01.0
voltage,133.5333333,51:01.0
current,3.676666667,51:01.0
active power,405.3333333,51:01.0
forward kWh,27.20133333,51:01.0
reverse kWh,0.725666667,51:01.0
frequency,60.02,51:01.0
power factor,0.783333333,51:01.0
featureId,UNAVAILABLE,51:02.0
partKindId,NONE,51:02.0
processKindId,NONE,51:02.0
A_Axis_Load,106,51:02.0
A_Position,-89.9995632,51:02.0
C_Axis_Load,21,51:02.0
C_Position,-59.9995,51:02.0
Machine_Time,2647050.354,51:02.0
Spindle_Time,709602.711,51:02.0
Feed_Override,100,51:02.0
Feed_Rate,0,51:02.0
Program_Runtime_Seconds,40,51:02.0
Rapid_Override,100,51:02.0
Rapid_Speed,0,51:02.0
S_Axis_Load,0,51:02.0
Spindle_Override,100,51:02.0
Spindle_Speed,0,51:02.0
X_Axis_Load,4,51:02.0
X_Position,379.8467945,51:02.0
Y_Axis_Load,6,51:02.0
Y_Position,496.9534,51:02.0
Z_Axis_Load,40,51:02.0
Z_Position,-4.302603378,51:02.0
COR_Status,1,51:02.0
Controller_Mode,MANUAL,51:02.0
EStop_State,ARMED,51:02.0
Machine_Mode,2,51:02.0
Block_Number,66,51:02.0
Current_Tool,72,51:02.0
Part_Count,9,51:02.0
Program_Name_Running,000454_D_A_PROGRAM_3.NC,51:02.0
voltage,133.5666667,51:02.0
current,3.666666667,51:02.0
active power,404.3333333,51:02.0
forward kWh,27.20133333,51:02.0
reverse kWh,0.725666667,51:02.0
frequency,60.02,51:02.0
power factor,0.78,51:02.0
featureId,UNAVAILABLE,51:03.0
partKindId,NONE,51:03.0
processKindId,NONE,51:03.0
A_Axis_Load,106,51:03.0
A_Position,-89.9995632,51:03.0
C_Axis_Load,21,51:03.0
C_Position,-59.9995,51:03.0
Machine_Time,2647050.354,51:03.0
Spindle_Time,709602.711,51:03.0
Feed_Override,100,51:03.0
Feed_Rate,0,51:03.0
Program_Runtime_Seconds,40,51:03.0
Rapid_Override,100,51:03.0
Rapid_Speed,0,51:03.0
