Dataname,Value,Time
featureId,UNAVAILABLE,2025-07-31 13:33:00.152413
partKindId,NONE,2025-07-31 13:33:00.152413
processKindId,NONE,2025-07-31 13:33:00.152413
A_Axis_Load,0,2025-07-31 13:33:00.152413
A_Position,-89.9995631963877,2025-07-31 13:33:00.152413
C_Axis_Load,7,2025-07-31 13:33:00.152413
C_Position,120.0005,2025-07-31 13:33:00.152413
Machine_Time,2758741.517,2025-07-31 13:33:00.152413
Spindle_Time,767248.463999999,2025-07-31 13:33:00.152413
Feed_Override,100,2025-07-31 13:33:00.152413
Feed_Rate,0,2025-07-31 13:33:00.152413
Program_Runtime_Seconds,46,2025-07-31 13:33:00.152413
Rapid_Override,100,2025-07-31 13:33:00.152413
Rapid_Speed,0,2025-07-31 13:33:00.152413
S_Axis_Load,0,2025-07-31 13:33:00.152413
Spindle_Override,100,2025-07-31 13:33:00.152413
Spindle_Speed,0,2025-07-31 13:33:00.152413
X_Axis_Load,4,2025-07-31 13:33:00.152413
X_Position,379.846805990744,2025-07-31 13:33:00.152413
Y_Axis_Load,5,2025-07-31 13:33:00.152413
Y_Position,496.953388584717,2025-07-31 13:33:00.152413
Z_Axis_Load,40,2025-07-31 13:33:00.152413
Z_Position,-4.30259193467025,2025-07-31 13:33:00.152413
COR_Status,1,2025-07-31 13:33:00.152413
Controller_Mode,AUTO,2025-07-31 13:33:00.152413
EStop_State,ARMED,2025-07-31 13:33:00.152413
Machine_Mode,4,2025-07-31 13:33:00.152413
Block_Number,66,2025-07-31 13:33:00.152413
Current_Tool,72,2025-07-31 13:33:00.152413
Part_Count,30,2025-07-31 13:33:00.152413
Program_Name_Running,000454_D_A_PROGRAM_4.NC,2025-07-31 13:33:00.152413
spindle motor v_rms,0.0,2025-07-31 13:33:00.152413
spindle motor a_peak,200,2025-07-31 13:33:00.152413
spindle motor a_rms,100,2025-07-31 13:33:00.152413
spindle motor temp,33.3,2025-07-31 13:33:00.152413
spindle motor crest,4.5,2025-07-31 13:33:00.152413
z-axis bearing v_rms,0.0,2025-07-31 13:33:00.152413
z-axis bearing a_peak,300,2025-07-31 13:33:00.152413
z-axis bearing a_rms,0,2025-07-31 13:33:00.152413
z-axis bearing temp,25.2,2025-07-31 13:33:00.152413
z-axis bearing crest,6.3,2025-07-31 13:33:00.152413
z-axis motor v_rms,0.0,2025-07-31 13:33:00.152413
z-axis motor a_peak,800,2025-07-31 13:33:00.152413
z-axis motor a_rms,400,2025-07-31 13:33:00.152413
z-axis motor temp,29.8,2025-07-31 13:33:00.152413
z-axis motor crest,1.8,2025-07-31 13:33:00.152413
y-axis bearing v_rms,0.0,2025-07-31 13:33:00.152413
y-axis bearing a_peak,200,2025-07-31 13:33:00.152413
y-axis bearing a_rms,0,2025-07-31 13:33:00.152413
y-axis bearing temp,23.4,2025-07-31 13:33:00.152413
y-axis bearing crest,4.0,2025-07-31 13:33:00.152413
y-axis motor v_rms,0.0,2025-07-31 13:33:00.152413
y-axis motor a_peak,400,2025-07-31 13:33:00.152413
y-axis motor a_rms,200,2025-07-31 13:33:00.152413
y-axis motor temp,25.7,2025-07-31 13:33:00.152413
y-axis motor crest,2.3,2025-07-31 13:33:00.152413
x-axis motor v_rms,0.0,2025-07-31 13:33:00.152413
x-axis motor a_peak,300,2025-07-31 13:33:00.152413
x-axis motor a_rms,100,2025-07-31 13:33:00.152413
x-axis motor temp,23.5,2025-07-31 13:33:00.152413
x-axis motor crest,6.6,2025-07-31 13:33:00.152413
voltage,133.63333333333333,2025-07-31 13:33:00.152413
current,3.66,2025-07-31 13:33:00.152413
active power,402.0,2025-07-31 13:33:00.152413
forward kWh,54.36000000000001,2025-07-31 13:33:00.152413
reverse kWh,1.8043333333333333,2025-07-31 13:33:00.152413
frequency,60.0,2025-07-31 13:33:00.152413
power factor,0.7766666666666667,2025-07-31 13:33:00.152413
featureId,UNAVAILABLE,2025-07-31 13:33:01.152687
partKindId,NONE,2025-07-31 13:33:01.152687
processKindId,NONE,2025-07-31 13:33:01.152687
A_Axis_Load,0,2025-07-31 13:33:01.152687
A_Position,-89.9995631963877,2025-07-31 13:33:01.152687
C_Axis_Load,7,2025-07-31 13:33:01.152687
C_Position,120.0005,2025-07-31 13:33:01.152687
Machine_Time,2758741.517,2025-07-31 13:33:01.152687
Spindle_Time,767248.463999999,2025-07-31 13:33:01.152687
Feed_Override,100,2025-07-31 13:33:01.152687
Feed_Rate,0,2025-07-31 13:33:01.152687
Program_Runtime_Seconds,46,2025-07-31 13:33:01.152687
Rapid_Override,100,2025-07-31 13:33:01.152687
Rapid_Speed,0,2025-07-31 13:33:01.152687
S_Axis_Load,0,2025-07-31 13:33:01.152687
Spindle_Override,100,2025-07-31 13:33:01.152687
Spindle_Speed,0,2025-07-31 13:33:01.152687
X_Axis_Load,4,2025-07-31 13:33:01.152687
X_Position,379.846805990744,2025-07-31 13:33:01.152687
Y_Axis_Load,5,2025-07-31 13:33:01.152687
Y_Position,496.953400028809,2025-07-31 13:33:01.152687
Z_Axis_Load,40,2025-07-31 13:33:01.152687
Z_Position,-4.30259193467025,2025-07-31 13:33:01.152687
COR_Status,1,2025-07-31 13:33:01.152687
Controller_Mode,AUTO,2025-07-31 13:33:01.152687
EStop_State,ARMED,2025-07-31 13:33:01.152687
Machine_Mode,4,2025-07-31 13:33:01.152687
Block_Number,66,2025-07-31 13:33:01.152687
Current_Tool,72,2025-07-31 13:33:01.152687
Part_Count,30,2025-07-31 13:33:01.152687
Program_Name_Running,000454_D_A_PROGRAM_4.NC,2025-07-31 13:33:01.152687
spindle motor v_rms,0.0,2025-07-31 13:33:01.152687
spindle motor a_peak,200,2025-07-31 13:33:01.152687
spindle motor a_rms,100,2025-07-31 13:33:01.152687
spindle motor temp,33.3,2025-07-31 13:33:01.152687
spindle motor crest,4.3,2025-07-31 13:33:01.152687
z-axis bearing v_rms,0.0,2025-07-31 13:33:01.152687
z-axis bearing a_peak,200,2025-07-31 13:33:01.152687
z-axis bearing a_rms,0,2025-07-31 13:33:01.152687
z-axis bearing temp,25.2,2025-07-31 13:33:01.152687
z-axis bearing crest,4.3,2025-07-31 13:33:01.152687
z-axis motor v_rms,0.0,2025-07-31 13:33:01.152687
z-axis motor a_peak,800,2025-07-31 13:33:01.152687
z-axis motor a_rms,400,2025-07-31 13:33:01.152687
z-axis motor temp,29.8,2025-07-31 13:33:01.152687
