Dataname,Value,Time
featureId,NONE,2025-07-11 10:16:00.310981
partKindId,NONE,2025-07-11 10:16:00.310981
processKindId,NONE,2025-07-11 10:16:00.310981
A_Axis_Load,16,2025-07-11 10:16:00.310981
A_Position,0.000167897837982586,2025-07-11 10:16:00.310981
C_Axis_Load,45,2025-07-11 10:16:00.310981
C_Position,30.0005,2025-07-11 10:16:00.310981
Machine_Time,2590129.942,2025-07-11 10:16:00.310981
Spindle_Time,690148.000000001,2025-07-11 10:16:00.310981
Feed_Override,100,2025-07-11 10:16:00.310981
Feed_Rate,0,2025-07-11 10:16:00.310981
Program_Runtime_Seconds,58,2025-07-11 10:16:00.310981
Rapid_Override,100,2025-07-11 10:16:00.310981
Rapid_Speed,0,2025-07-11 10:16:00.310981
S_Axis_Load,0,2025-07-11 10:16:00.310981
Spindle_Override,100,2025-07-11 10:16:00.310981
Spindle_Speed,0,2025-07-11 10:16:00.310981
X_Axis_Load,3,2025-07-11 10:16:00.310981
X_Position,415.76750021304,2025-07-11 10:16:00.310981
Y_Axis_Load,5,2025-07-11 10:16:00.310981
Y_Position,491.650013340576,2025-07-11 10:16:00.310981
Z_Axis_Load,36,2025-07-11 10:16:00.310981
Z_Position,-244.750002025558,2025-07-11 10:16:00.310981
COR_Status,1,2025-07-11 10:16:00.310981
Controller_Mode,MANUAL,2025-07-11 10:16:00.310981
EStop_State,ARMED,2025-07-11 10:16:00.310981
Machine_Mode,2,2025-07-11 10:16:00.310981
Block_Number,638,2025-07-11 10:16:00.310981
Current_Tool,21,2025-07-11 10:16:00.310981
Part_Count,2,2025-07-11 10:16:00.310981
Program_Name_Running,000454_D_A_PROGRAM_2.NC,2025-07-11 10:16:00.310981
spindle motor v_rms,0.0,2025-07-11 10:16:00.310981
spindle motor a_peak,200,2025-07-11 10:16:00.310981
spindle motor a_rms,100,2025-07-11 10:16:00.310981
spindle motor temp,23.8,2025-07-11 10:16:00.310981
spindle motor crest,3.7,2025-07-11 10:16:00.310981
z-axis bearing v_rms,0.0,2025-07-11 10:16:00.310981
z-axis bearing a_peak,200,2025-07-11 10:16:00.310981
z-axis bearing a_rms,0,2025-07-11 10:16:00.310981
z-axis bearing temp,22.4,2025-07-11 10:16:00.310981
z-axis bearing crest,3.8,2025-07-11 10:16:00.310981
z-axis motor v_rms,0.0,2025-07-11 10:16:00.310981
z-axis motor a_peak,1000,2025-07-11 10:16:00.310981
z-axis motor a_rms,500,2025-07-11 10:16:00.310981
z-axis motor temp,25.3,2025-07-11 10:16:00.310981
z-axis motor crest,2.0,2025-07-11 10:16:00.310981
y-axis bearing v_rms,0.0,2025-07-11 10:16:00.310981
y-axis bearing a_peak,200,2025-07-11 10:16:00.310981
y-axis bearing a_rms,0,2025-07-11 10:16:00.310981
y-axis bearing temp,21.1,2025-07-11 10:16:00.310981
y-axis bearing crest,3.9,2025-07-11 10:16:00.310981
y-axis motor v_rms,0.0,2025-07-11 10:16:00.310981
y-axis motor a_peak,600,2025-07-11 10:16:00.310981
y-axis motor a_rms,300,2025-07-11 10:16:00.310981
y-axis motor temp,23.9,2025-07-11 10:16:00.310981
y-axis motor crest,2.1,2025-07-11 10:16:00.310981
x-axis motor v_rms,0.0,2025-07-11 10:16:00.310981
x-axis motor a_peak,200,2025-07-11 10:16:00.310981
x-axis motor a_rms,0,2025-07-11 10:16:00.310981
x-axis motor temp,21.6,2025-07-11 10:16:00.310981
x-axis motor crest,4.1,2025-07-11 10:16:00.310981
voltage,132.79999999999998,2025-07-11 10:16:00.310981
current,3.653333333333333,2025-07-11 10:16:00.310981
active power,399.0,2025-07-11 10:16:00.310981
forward kWh,16.111666666666668,2025-07-11 10:16:00.310981
reverse kWh,0.3546666666666667,2025-07-11 10:16:00.310981
frequency,60.01,2025-07-11 10:16:00.310981
power factor,0.7799999999999999,2025-07-11 10:16:00.310981
featureId,NONE,2025-07-11 10:16:01.311192
partKindId,NONE,2025-07-11 10:16:01.311192
processKindId,NONE,2025-07-11 10:16:01.311192
A_Axis_Load,16,2025-07-11 10:16:01.311192
A_Position,0.000167897837982586,2025-07-11 10:16:01.311192
C_Axis_Load,45,2025-07-11 10:16:01.311192
C_Position,30.0005,2025-07-11 10:16:01.311192
Machine_Time,2590129.942,2025-07-11 10:16:01.311192
Spindle_Time,690148.000000001,2025-07-11 10:16:01.311192
Feed_Override,100,2025-07-11 10:16:01.311192
Feed_Rate,0,2025-07-11 10:16:01.311192
Program_Runtime_Seconds,58,2025-07-11 10:16:01.311192
Rapid_Override,100,2025-07-11 10:16:01.311192
Rapid_Speed,0,2025-07-11 10:16:01.311192
S_Axis_Load,0,2025-07-11 10:16:01.311192
Spindle_Override,100,2025-07-11 10:16:01.311192
Spindle_Speed,0,2025-07-11 10:16:01.311192
X_Axis_Load,3,2025-07-11 10:16:01.311192
X_Position,415.76750021304,2025-07-11 10:16:01.311192
Y_Axis_Load,5,2025-07-11 10:16:01.311192
Y_Position,491.650001896484,2025-07-11 10:16:01.311192
Z_Axis_Load,37,2025-07-11 10:16:01.311192
Z_Position,-244.750002025558,2025-07-11 10:16:01.311192
COR_Status,1,2025-07-11 10:16:01.311192
Controller_Mode,MANUAL,2025-07-11 10:16:01.311192
EStop_State,ARMED,2025-07-11 10:16:01.311192
Machine_Mode,2,2025-07-11 10:16:01.311192
Block_Number,638,2025-07-11 10:16:01.311192
Current_Tool,21,2025-07-11 10:16:01.311192
Part_Count,2,2025-07-11 10:16:01.311192
Program_Name_Running,000454_D_A_PROGRAM_2.NC,2025-07-11 10:16:01.311192
spindle motor v_rms,0.0,2025-07-11 10:16:01.311192
spindle motor a_peak,200,2025-07-11 10:16:01.311192
spindle motor a_rms,100,2025-07-11 10:16:01.311192
