Dataname,Value,Time
featureId,UNAVAILABLE,2025-07-31 13:17:00.777719
partKindId,NONE,2025-07-31 13:17:00.777719
processKindId,NONE,2025-07-31 13:17:00.777719
A_Axis_Load,83,2025-07-31 13:17:00.777719
A_Position,-90.002062852613,2025-07-31 13:17:00.777719
C_Axis_Load,9,2025-07-31 13:17:00.777719
C_Position,120.0005,2025-07-31 13:17:00.777719
Machine_Time,2758021.162,2025-07-31 13:17:00.777719
Spindle_Time,767248.463999999,2025-07-31 13:17:00.777719
Feed_Override,100,2025-07-31 13:17:00.777719
Feed_Rate,0,2025-07-31 13:17:00.777719
Program_Runtime_Seconds,1,2025-07-31 13:17:00.777719
Rapid_Override,100,2025-07-31 13:17:00.777719
Rapid_Speed,0,2025-07-31 13:17:00.777719
S_Axis_Load,0,2025-07-31 13:17:00.777719
Spindle_Override,100,2025-07-31 13:17:00.777719
Spindle_Speed,0,2025-07-31 13:17:00.777719
X_Axis_Load,3,2025-07-31 13:17:00.777719
X_Position,415.76750021304,2025-07-31 13:17:00.777719
Y_Axis_Load,5,2025-07-31 13:17:00.777719
Y_Position,491.650001896484,2025-07-31 13:17:00.777719
Z_Axis_Load,37,2025-07-31 13:17:00.777719
Z_Position,-245.47830194297,2025-07-31 13:17:00.777719
COR_Status,1,2025-07-31 13:17:00.777719
Controller_Mode,MANUAL,2025-07-31 13:17:00.777719
EStop_State,ARMED,2025-07-31 13:17:00.777719
Machine_Mode,2,2025-07-31 13:17:00.777719
Block_Number,638,2025-07-31 13:17:00.777719
Current_Tool,21,2025-07-31 13:17:00.777719
Part_Count,31,2025-07-31 13:17:00.777719
Program_Name_Running,000454_D_A_PROGRAM_2.NC,2025-07-31 13:17:00.777719
spindle motor v_rms,0.0,2025-07-31 13:17:00.777719
spindle motor a_peak,200,2025-07-31 13:17:00.777719
spindle motor a_rms,100,2025-07-31 13:17:00.777719
spindle motor temp,37.0,2025-07-31 13:17:00.777719
spindle motor crest,3.7,2025-07-31 13:17:00.777719
z-axis bearing v_rms,0.0,2025-07-31 13:17:00.777719
z-axis bearing a_peak,200,2025-07-31 13:17:00.777719
z-axis bearing a_rms,0,2025-07-31 13:17:00.777719
z-axis bearing temp,24.6,2025-07-31 13:17:00.777719
z-axis bearing crest,4.7,2025-07-31 13:17:00.777719
z-axis motor v_rms,0.0,2025-07-31 13:17:00.777719
z-axis motor a_peak,700,2025-07-31 13:17:00.777719
z-axis motor a_rms,400,2025-07-31 13:17:00.777719
z-axis motor temp,29.8,2025-07-31 13:17:00.777719
z-axis motor crest,1.9,2025-07-31 13:17:00.777719
y-axis bearing v_rms,0.0,2025-07-31 13:17:00.777719
y-axis bearing a_peak,200,2025-07-31 13:17:00.777719
